pobr,mort,educ,precip,tempjan,umidd,HCpolui
13% a 18%,912,3,10,7,36,0,27,0,59,0,baixo
13% a 18%,823,8,12,1,28,0,32,0,54,0,baixo
13% a 18%,912,2,10,3,40,0,23,0,60,0,baixo
13% a 18%,972,5,10,7,31,0,26,0,59,0,baixo
13% a 18%,919,7,12,0,35,0,31,0,55,0,baixo
13% a 18%,895,7,11,1,45,0,24,0,56,0,baixo
13% a 18%,946,2,9,6,41,0,33,0,54,0,baixo
13% a 18%,997,9,11,0,35,0,23,0,57,0,baixo
13% a 18%,911,8,9,0,42,0,33,0,54,0,baixo
13% a 18%,938,5,10,1,42,0,29,0,56,0,baixo
13% a 18%,860,1,11,8,35,0,46,0,54,0,baixo
13% a 18%,1025,5,11,0,44,0,39,0,53,0,baixo
13% a 18%,952,5,11,4,46,0,55,0,59,0,baixo
Acima de 18%,891,7,11,4,31,0,45,0,53,0,baixo
Acima de 18%,971,1,10,4,42,0,40,0,53,0,baixo
Acima de 18%,861,4,11,5,60,0,67,0,60,0,baixo
Ate 13%,887,5,11,5,43,0,27,0,56,baixo
Ate 13%,899,5,10,6,45,0,30,0,56,0,baixo
Ate 13%,874,3,11,1,32,0,25,0,60,0,baixo
Ate 13%,950,7,11,4,38,0,24,0,61,0,baixo
Ate 13%,936,2,11,4,36,0,30,0,58,0,baixo
Ate 13%,844,1,9,5,43,0,32,0,54,0,baixo
Ate 13%,923,2,11,3,46,0,30,0,58,0,baixo
Ate 13%,871,3,10,9,31,0,24,0,61,0,baixo
Ate 13%,904,2,11,1,45,0,28,0,56,0,baixo
Ate 13%,962,4,9,8,44,0,29,0,54,0,baixo
Ate 13%,941,2,10,8,30,0,24,0,61,0,baixo
13% a 18%,954,4,10,7,38,0,28,0,58,0,mediano
13% a 18%,968,7,11,4,39,0,29,0,60,0,mediano
13% a 18%,1015,0,10,5,42,0,32,0,54,0,mediano
13% a 18%,958,8,11,9,37,0,31,0,58,0,mediano
13% a 18%,970,5,10,2,40,0,34,0,57,0,mediano
13% a 18%,953,6,9,7,34,0,32,0,57,0,mediano
13% a 18%,989,3,9,9,30,0,35,0,57,0,mediano
Acima de 18%,982,3,11,1,47,0,45,0,56,0,mediano
Acima de 18%,961,0,10,1,45,0,40,0,56,0,mediano
Acima de 18%,1017,6,9,6,52,0,42,0,56,0,mediano
Acima de 18%,1113,2,9,7,54,0,54,0,62,0,mediano
Acima de 18%,1030,4,10,2,53,0,45,0,54,0,mediano
Acima de 18%,1006,5,10,4,50,0,42,0,59,0,mediano
Ate 13%,929,2,11,1,30,0,20,0,64,mediano
Ate 13%,857,6,12,1,25,0,12,0,58,mediano
Ate 13%,899,3,12,2,35,0,40,0,72,0,mediano
Ate 13%,1003,5,11,3,45,0,33,0,56,0,mediano
Ate 13%,934,7,12,1,43,0,30,0,56,0,mediano
Ate 13%,986,0,11,1,35,0,28,0,60,0,mediano
Ate 13%,921,9,11,4,36,0,27,0,59,0,mediano
Ate 13%,1001,9,10,5,36,0,24,0,61,0,mediano
Ate 13%,871,8,12,2,15,0,30,0,38,0,mediano
13% a 18%,894,0,12,0,37,0,38,0,73,0,alto
13% a 18%,959,2,10,8,31,0,27,0,59,0,alto
13% a 18%,991,3,10,6,36,0,29,0,56,0,alto
13% a 18%,1071,3,9,6,43,0,35,0,55,0,alto
Ate 13%,967,8,12,3,41,0,37,0,52,0,alto
Ate 13%,1024,9,10,9,33,0,26,0,58,0,alto
Ate 13%,994,6,10,7,42,0,33,0,58,0,alto
13% a 18%,839,7,12,1,10,0,55,0,61,0,muito alto
Ate 13%,790,7,12,2,13,0,49,0,71,muito alto
Ate 13%,911,7,12,2,18,0,48,0,71,0,muito alto
Ate 13%,861,8,12,1,11,0,53,0,47,0,muito alto
